Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Капуста Кольраби [Ашан];44;2,8;0,1;7,9
Капуста Маринованная по-Корейски [Ашан];90;1,4;6,5;6,4
Капуста с Клюквой [Ашан];107;1,4;7,7;8,1
Капуста Тушёная [Ашан];94;2,5;4,6;10,7
Капуста Тушеная [Ашан];94;2,5;4,6;10,7
Капуста Тушёная с Грибами [Ашан];95;3;6,7;5,5
Капучино в Капсулах [Ашан];469;19;18,4;56,4
Карамельный Соус [Ашан];321;0;0;80,3
Карп [Ашан];112;16;5,3;0
Картофель [Ашан];76;2;0,4;16,1
Картофель Жареный с Грибами [Ашан];170;4,7;12;42
Картофель Запеченый в Сыре [Ашан];170;4,7;12;42
Картофель Молодой Запечённый [Ашан];246;2,4;26,1;0,5
Картофель Отварной [Ашан];82;2;0,4;16,7
Картофель Печеный [Ашан];112;4,7;0,2;36
Картофель по-Французски [Ашан];198;12;0,3;23
Картофель с Сыром [Ашан];141;3,7;9,2;10,9
Картофель Фри [Ашан];221;4,5;5,7;38
Картофельное Пюре [Ашан];97;2,5;3,4;14,2
Картофельное Пюре с Сыром и Зеленью [Ашан];140;6,1;5,8;15,9
Картофельные Дольки в Кожуре [Ашан];110;8;41,7;65
Картофельные Котлеты [Ашан];182;3;8,6;15,3
Каша Гурьевская [Ашан];120;2;3;20
Каша Манная Гурьевская [Ашан];98;2,8;3,8;12,9
Каша Овсяная [Ашан];329;8,9;4,4;63,5
Каша Овсяная Молочная [Ашан];138;5,1;6,5;14,9
Каша Овсяная с Бананом [Ашан];91;3,4;0,7;17,7
Каша Овсяная с Клубникой [Ашан];351;10,3;5,3;65,6
Каша Овсяная со Сливками [Ашан];100;3,9;2,2;16,1
Каша Перловая с Грибами [Ашан];129;4;4,3;19,9
Каша Пшенная Молочная [Ашан];102;2,2;4,6;12,7
Каша Пшенная с Тыквой [Ашан];92;2,9;1,6;16,5
Каша Пшенная Тыква [Ашан];95;2;3;15
Каша Рисовая Молочная [Ашан];84;1,1;4,1;10,5
Каша Рисовая с Папайей [Ашан];340;7;0,5;77
Каша Рисовая со Сливками [Ашан];117;3,5;5,2;14,1
Каша Сытная [Ашан];347;12,1;15,5;59,2
Каштановый Крем [Ашан];251;1,1;0,7;59,2
Квас Живого Брожения [Ашан];30;2;0;6
Кедровые Орехи [Ашан];670;12;61;19
Кедровый Орех Очищенный [Ашан];603;11,6;61;19,3
Кекс Голландский [Ашан];397;4,7;18,6;40,4
